yearID,playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,ASG_Result,playerType
2007,quentca01,81,229,29,49,16,0,5,31,2,2,18,54,1,11,1,4,5,YES,POS
1976,jonesru01,28,51,9,11,1,1,1,7,0,2,3,16,0,0,0,0,0,YES,POS
1980,kennete02,84,248,28,63,12,3,4,34,0,0,28,34,3,0,1,4,9,YES,POS
1979,reitzke01,159,605,42,162,41,2,8,73,1,0,25,85,7,4,4,5,13,YES,POS
2005,utleych01,147,543,93,158,39,6,28,105,16,3,69,109,5,9,0,7,10,YES,POS
2007,braunry02,113,451,91,146,26,6,34,97,15,5,29,112,1,7,0,5,13,YES,POS
2006,hudsoor01,157,579,87,166,34,9,15,67,9,6,61,78,5,2,4,4,17,YES,POS
1986,bellge02,159,641,101,198,38,6,31,108,7,8,41,62,3,2,0,6,15,YES,POS
1991,venturo01,157,606,92,172,25,1,23,100,2,4,80,67,3,4,8,7,22,YES,POS
1990,josefe01,126,426,54,113,16,1,11,52,12,6,24,81,0,5,2,1,9,YES,POS
2003,wilsoja02,150,558,58,143,21,3,9,62,5,5,36,74,3,4,11,6,11,YES,POS
2004,leeca01,153,591,103,180,37,0,31,99,11,5,54,86,3,7,0,6,10,YES,POS
1999,evereca01,123,464,86,151,33,3,25,108,27,7,50,94,5,11,2,8,5,YES,POS
1987,vanslan01,157,564,93,165,36,11,21,82,34,8,56,122,4,4,3,3,6,YES,POS
1980,bakerdu01,153,579,80,170,26,4,29,97,12,10,43,66,4,3,1,12,11,YES,POS
2017,lowrije01,153,567,86,157,49,3,14,69,0,1,73,100,2,2,0,3,10,YES,POS
1983,marshmi02,140,465,47,132,17,1,17,65,7,3,43,127,4,5,0,5,8,YES,POS
1971,bandosa01,153,538,75,146,23,1,24,94,3,7,86,55,11,8,6,5,14,YES,POS
1998,spraged02,132,469,57,104,25,0,20,58,1,2,26,90,2,13,0,2,16,YES,POS
1992,justida01,144,484,78,124,19,5,21,72,2,4,79,85,8,2,0,6,1,YES,POS
1980,benedbr01,120,359,18,91,14,1,2,34,3,3,28,36,8,1,13,1,11,YES,POS
1988,mitchke01,148,505,60,127,25,7,19,80,5,5,48,85,7,5,1,7,9,YES,POS
1970,cardele01,160,588,67,145,34,4,11,65,2,5,42,101,2,4,13,2,11,YES,POS
2017,albieoz01,57,217,34,62,9,5,6,28,8,1,21,36,0,3,1,2,3,YES,POS
2010,bruceja01,148,509,80,143,23,5,25,70,5,4,58,136,5,1,0,5,12,YES,POS
2013,puigya01,104,382,66,122,21,2,19,42,11,8,36,97,6,11,0,3,6,YES,POS
1973,burroje01,151,526,71,147,17,1,30,85,0,0,67,88,3,1,0,11,8,YES,POS
2003,youngmi02,160,666,106,204,33,9,14,72,13,2,36,103,1,1,3,7,14,YES,POS
2011,cabreme01,155,658,102,201,44,5,18,87,20,10,35,94,3,1,7,5,12,YES,POS
1999,heltoto01,159,578,114,185,39,5,35,113,7,6,68,77,6,6,0,4,14,YES,POS
1970,bondsbo01,157,663,134,200,36,10,26,78,48,10,77,189,7,2,1,2,6,YES,POS
2012,goldspa01,145,514,82,147,43,1,20,82,18,3,60,130,4,4,0,9,9,YES,POS
1971,rudijo01,127,513,62,137,23,4,10,52,3,2,28,62,2,1,10,4,15,YES,POS
1999,vidrojo01,140,494,67,150,45,2,12,59,0,4,29,51,2,4,2,2,12,YES,POS
1997,palmede01,143,542,70,139,31,1,23,86,2,2,41,134,2,3,1,5,7,YES,POS
2008,werthja01,134,418,73,114,16,3,24,67,20,1,57,119,1,4,0,3,2,YES,POS
2003,ortizda01,128,448,79,129,39,2,31,101,0,0,58,83,8,1,0,2,9,YES,POS
2017,gennesc01,141,461,80,136,22,3,27,97,3,2,30,114,1,4,0,2,15,YES,POS
1989,bondsba01,159,580,96,144,34,6,19,58,32,10,93,93,22,1,1,4,9,YES,POS
2016,cozarza01,121,464,67,117,28,2,16,50,4,1,37,84,3,2,1,4,9,YES,POS
1988,grubeke01,158,569,75,158,33,5,16,81,23,5,38,92,1,7,5,4,20,YES,POS
2009,byrdma01,146,547,66,155,43,2,20,89,8,4,32,98,2,10,0,10,11,YES,POS
2008,victosh01,146,570,102,167,30,8,14,58,36,11,45,69,2,7,5,0,8,YES,POS
2007,kinslia01,130,483,96,127,22,2,20,61,23,2,62,83,2,9,8,4,14,YES,POS
1986,seitzke01,28,96,16,31,4,1,2,11,0,0,19,14,0,1,0,0,0,YES,POS
1972,spencji01,82,212,13,47,5,0,1,14,0,1,12,25,1,0,0,1,8,YES,POS
2017,baezja01,145,469,75,128,24,2,23,75,10,3,30,144,15,1,6,2,10,YES,POS
1999,bordimi01,160,631,93,175,35,7,10,77,14,4,54,102,1,5,8,10,25,YES,POS
2003,guillca01,109,388,63,107,19,3,7,52,4,4,52,64,2,1,5,5,12,YES,POS
2009,phillbr01,153,584,78,161,30,5,20,98,25,9,44,75,3,6,2,8,21,YES,POS
1989,willima04,84,292,31,59,18,1,18,50,1,2,14,72,1,2,1,2,5,YES,POS
1987,dunstsh01,95,346,40,85,18,3,5,22,12,3,10,68,1,1,0,2,6,YES,POS
2002,hernara02,136,403,51,94,20,0,7,42,0,0,43,64,1,5,3,3,11,YES,POS
1981,smithlo01,62,176,40,57,14,3,2,11,21,10,18,14,1,5,3,0,1,YES,POS
1982,wardga01,152,570,85,165,33,7,28,91,13,1,37,105,4,1,1,7,16,YES,POS
1970,kalinal01,131,467,64,130,24,4,16,71,2,2,77,49,5,1,3,7,20,YES,POS
2005,hollima01,125,479,68,147,24,7,19,87,14,3,36,79,1,7,0,4,11,YES,POS
1993,caminke01,143,543,75,142,31,0,13,75,8,5,49,88,10,0,1,3,15,YES,POS
1998,burnije01,161,609,92,160,28,1,38,125,7,4,70,158,7,4,1,7,9,YES,POS
1979,henderi01,89,351,49,96,13,3,1,26,33,11,34,39,0,2,8,3,4,YES,POS
1981,penato01,66,210,16,63,9,1,2,17,1,2,8,23,2,1,2,2,4,YES,POS
2002,wilsopr01,141,510,80,124,22,2,23,65,20,11,58,140,3,9,2,3,17,YES,POS
1970,brocklo01,155,664,114,202,29,5,13,57,51,15,60,99,12,1,1,3,10,YES,POS
2008,ibanera01,162,635,85,186,43,3,23,110,2,4,64,110,11,3,0,5,13,YES,POS
2013,blackch02,82,246,35,76,17,2,6,22,7,0,7,49,0,3,2,0,1,YES,POS
1987,thompro01,132,420,62,110,26,5,10,44,16,11,40,91,3,8,6,0,8,YES,POS
2013,aybarer01,138,550,68,149,33,5,6,54,12,7,23,59,1,3,8,5,14,YES,POS
2006,rowanaa01,109,405,59,106,24,3,12,47,10,4,18,76,2,18,2,2,13,YES,POS
2007,sotoge01,18,54,12,21,6,0,3,8,0,0,5,14,0,0,0,1,1,YES,POS
2015,nunezed02,72,188,23,53,14,1,4,20,8,4,12,29,0,1,2,1,1,YES,POS
1971,speiech01,157,601,74,141,17,6,8,46,4,7,56,90,6,7,5,1,15,YES,POS
1975,griffke01,132,463,95,141,15,9,4,46,16,7,67,67,2,1,6,3,10,YES,POS
2011,trumbma01,149,539,65,137,31,1,29,87,9,4,25,120,6,5,0,4,17,YES,POS
2005,sanchfr01,132,453,54,132,26,4,5,35,2,2,27,36,1,5,4,3,6,YES,POS
1973,porteda02,117,350,50,89,19,2,16,67,5,2,57,85,6,4,3,2,6,YES,POS
1981,hornebo01,79,300,42,83,10,0,15,42,2,3,32,39,3,1,0,3,6,YES,POS
1991,martied01,150,544,98,167,35,1,14,52,0,3,84,72,9,8,2,4,19,YES,POS
1973,moneydo01,145,556,75,158,28,2,11,61,22,5,53,53,3,3,11,4,12,YES,POS
2010,weeksri01,160,651,112,175,32,4,29,83,11,4,76,184,0,25,0,2,5,YES,POS
2015,lindofr01,99,390,50,122,22,4,12,51,12,2,27,69,0,1,13,7,12,YES,POS
1998,caseyse01,96,302,44,82,21,1,7,52,1,1,43,45,3,3,0,3,11,YES,POS
1987,colemvi01,151,623,121,180,14,10,3,43,109,22,70,126,0,3,5,1,7,YES,POS
2010,sanchga01,151,572,72,156,37,3,19,85,5,0,57,101,2,5,3,6,14,YES,POS
1984,wilsogl01,132,341,28,82,21,3,6,31,7,1,17,56,1,1,1,3,12,YES,POS
1972,brinked01,156,516,42,105,19,1,6,49,0,0,38,51,9,3,7,7,14,YES,POS
2006,hardyjj01,35,128,13,31,5,0,5,14,1,1,10,23,0,0,0,1,4,YES,POS
1971,grichbo01,7,30,7,9,0,0,1,6,1,0,5,8,0,0,0,0,0,YES,POS
2007,navardi01,119,388,46,88,19,2,9,44,3,1,33,67,3,1,7,5,11,YES,POS
1972,maybejo01,149,503,65,150,24,3,25,100,0,2,78,74,13,3,1,3,12,YES,POS
1973,grubbjo01,113,389,52,121,22,3,8,37,9,3,37,50,2,2,3,1,6,YES,POS
1999,gilesbr02,141,521,109,164,33,3,39,115,6,2,95,80,7,3,0,8,14,YES,POS
2007,hamiljo03,90,298,52,87,17,2,19,47,3,3,33,65,4,4,0,2,6,YES,POS
2005,canoro01,132,522,78,155,34,4,14,62,1,3,16,68,1,3,7,3,16,YES,POS
1971,patekfr01,147,591,86,158,21,11,6,36,49,14,44,80,3,5,7,1,6,YES,POS
1987,lansfca01,151,554,89,160,27,4,19,76,27,8,60,44,11,9,5,3,9,YES,POS
2012,browndo01,56,187,21,44,11,2,5,26,0,0,21,34,2,2,0,2,6,YES,POS
1992,belleal01,153,585,81,152,23,1,34,112,8,2,52,128,5,4,1,8,18,YES,POS
2009,bautijo02,113,336,54,79,13,3,13,40,4,0,56,85,1,4,6,2,9,YES,POS
1989,griffke02,127,455,61,120,23,0,16,61,16,7,44,83,8,2,1,4,4,YES,POS
2005,wrighda03,160,575,99,176,42,1,27,102,17,7,72,113,2,7,0,3,16,YES,POS
2001,hillesh02,139,468,52,123,20,2,12,49,3,4,13,61,3,7,1,4,12,YES,POS
2014,martijd02,123,441,57,139,30,3,23,76,6,3,30,126,5,3,0,6,8,YES,POS
2016,correca01,153,577,76,158,36,3,20,96,13,3,75,139,5,5,0,3,12,YES,POS
1980,dawsoan01,151,577,96,178,41,7,17,87,34,9,44,69,7,6,1,10,9,YES,POS
1994,moranmi01,87,274,40,80,16,5,2,26,10,5,34,33,5,4,4,0,4,YES,POS
1993,cordewi01,138,475,56,118,32,2,10,58,12,3,34,60,8,7,4,1,12,YES,POS
1974,mcraeha01,148,539,71,167,36,4,15,88,11,8,54,68,6,5,5,4,12,YES,POS
1981,thornan01,69,226,22,54,12,0,6,30,3,1,23,37,1,0,2,5,15,YES,POS
2011,butlebi03,159,597,74,174,44,0,19,95,2,1,66,95,15,3,0,7,16,YES,POS
1972,russebi01,129,434,47,118,19,5,4,34,14,7,34,64,9,2,5,2,4,YES,POS
1970,jacksre01,149,426,57,101,21,2,23,66,26,17,75,135,11,8,2,3,10,YES,POS
2000,aurilri01,141,509,67,138,24,2,20,79,1,2,54,90,2,0,4,4,15,YES,POS
1971,pinielo01,126,448,43,125,21,5,3,51,5,3,21,43,4,2,0,5,12,YES,POS
2007,drewjd01,140,466,84,126,30,4,11,64,4,2,79,100,10,1,0,6,12,YES,POS
1980,smithoz01,158,609,67,140,18,5,0,35,57,15,71,49,1,5,23,4,9,YES,POS
2003,harveke01,135,485,50,129,30,0,13,64,2,3,29,94,4,5,3,2,15,YES,POS
2003,loretma01,154,589,74,185,28,4,13,72,5,4,54,62,2,3,3,4,17,YES,POS
1981,saxst01,31,119,15,33,2,0,2,9,5,7,7,14,1,0,1,0,0,YES,POS
2007,ramirha01,154,639,125,212,48,6,29,81,51,14,52,95,3,7,4,4,10,YES,POS
1988,tettlmi01,86,283,31,74,11,1,11,37,0,1,28,70,2,2,1,2,9,YES,POS
1994,vaughmo01,111,394,65,122,25,1,26,82,4,4,57,112,20,10,0,2,7,YES,POS
2010,wietema01,130,446,37,111,22,1,11,55,0,1,47,94,7,2,0,7,13,YES,POS
1975,brettge01,159,634,84,195,35,13,11,90,13,10,46,49,6,2,9,6,8,YES,POS
1970,colbena01,156,572,84,148,17,6,38,86,3,5,56,150,8,4,1,3,11,YES,POS
2010,joycema01,77,216,30,52,15,3,10,40,2,2,40,55,2,2,0,3,2,YES,POS
1985,jacobbr01,161,606,72,166,26,3,20,87,2,3,48,120,3,0,1,7,17,YES,POS
2010,sandopa01,152,563,61,151,34,3,13,63,3,2,47,81,12,1,0,5,26,YES,POS
1990,oneilpa01,145,503,59,136,28,0,16,78,13,11,53,103,13,2,1,5,12,YES,POS
1997,boonebr01,139,443,40,99,25,1,7,46,5,5,45,101,4,4,4,5,11,YES,POS
1994,disarga01,112,389,53,101,14,2,3,33,3,7,18,28,0,2,10,2,10,YES,POS
2011,gonzaca01,127,481,92,142,27,3,26,92,20,5,48,105,8,7,0,6,11,YES,POS
1981,hrbekke01,24,67,5,16,5,0,1,7,0,0,5,9,1,1,0,0,0,YES,POS
2008,bartlja01,128,454,48,130,25,3,1,37,20,6,22,69,1,9,5,4,9,YES,POS
2010,ellsbja01,18,78,10,15,4,0,0,5,7,1,4,9,0,1,0,0,0,YES,POS
1975,rivermi01,155,616,70,175,17,13,1,53,70,14,43,42,5,2,7,4,6,YES,POS
2004,roberbr01,159,641,107,175,50,2,4,53,29,12,71,95,1,1,15,6,3,YES,POS
1978,coopece01,107,407,60,127,23,2,13,54,3,4,32,72,3,0,5,4,5,YES,POS
2004,ensbemo01,131,411,51,113,20,3,10,66,6,4,36,46,1,0,5,4,17,YES,POS
2015,duvalad01,27,64,6,14,2,0,5,9,0,0,6,26,1,2,0,0,0,YES,POS
1971,fiskca01,14,48,7,15,2,1,2,6,0,0,1,10,0,0,0,0,1,YES,POS
1992,coopesc01,123,337,34,93,21,0,5,33,1,1,37,33,0,0,2,2,5,YES,POS
1997,grievbe01,24,93,12,29,6,0,3,24,0,0,13,25,1,1,1,0,1,YES,POS
1972,motama01,118,371,57,120,16,5,5,48,4,4,27,15,6,5,5,2,10,YES,POS
2000,kleskry01,145,494,88,140,33,2,26,92,23,7,91,81,9,1,0,4,10,YES,POS
2003,estrajo01,16,36,2,11,0,0,0,2,0,0,0,3,0,3,0,0,1,YES,POS
1976,montawi01,163,650,74,206,29,2,11,84,2,5,36,47,11,1,1,3,26,YES,POS
1985,brownch02,131,432,50,117,20,3,16,61,2,3,38,78,4,11,1,0,19,YES,POS
2009,bournmi01,157,606,97,173,27,12,3,35,61,12,63,140,1,2,5,2,1,YES,POS
2014,gardnbr01,148,555,87,142,25,8,17,58,21,5,56,134,0,6,13,6,3,YES,POS
1987,larkiba01,125,439,64,107,16,2,12,43,21,6,36,52,3,5,5,3,8,YES,POS
2012,cabreev01,115,398,49,98,19,3,2,24,44,4,43,110,2,3,5,0,3,YES,POS
2004,podsesc01,154,640,85,156,27,7,12,39,70,13,58,105,2,7,6,1,7,YES,POS
2017,realmjt01,141,532,68,148,31,5,17,65,8,2,36,106,4,8,0,3,13,YES,POS
2014,escobal02,162,579,74,165,34,5,3,50,31,6,23,83,1,6,8,4,12,YES,POS
2013,mesorde01,103,323,31,77,13,0,9,42,0,2,24,61,4,0,0,5,9,YES,POS
1970,mayle01,153,605,78,153,34,2,34,94,1,1,38,125,5,2,0,4,19,YES,POS
1978,bochtbr01,140,486,58,128,25,3,11,51,3,4,60,47,3,1,7,6,12,YES,POS
1970,meltobi01,141,514,74,135,15,1,33,96,2,4,56,107,2,9,1,9,7,YES,POS
1975,chambch01,150,562,66,171,38,4,9,72,0,1,29,50,9,1,4,6,19,YES,POS
2017,choosh01,149,544,96,142,20,1,22,78,12,3,77,134,1,7,3,5,18,YES,POS
1971,campabe01,134,569,80,143,18,4,5,47,34,7,29,64,1,2,3,6,7,YES,POS
2005,riosal01,146,481,71,126,23,6,10,59,14,9,28,101,1,5,0,5,14,YES,POS
2002,varitja01,132,467,58,124,27,1,10,61,4,3,41,95,3,7,1,3,13,YES,POS
2001,dunnad01,66,244,54,64,18,1,19,43,4,2,38,74,2,4,0,0,4,YES,POS
2014,holtbr01,106,449,68,126,23,5,4,29,12,2,33,98,0,2,5,3,7,YES,POS
1977,pocorbi01,113,321,46,93,24,1,8,44,3,4,57,27,15,1,4,4,9,YES,POS
1975,randowi01,30,61,9,10,1,0,0,3,1,0,7,6,1,0,1,1,3,YES,POS
1983,griffal01,162,528,62,132,22,9,4,47,8,11,27,44,0,3,11,3,5,YES,POS
2011,lahaibr01,20,59,9,17,5,1,2,6,0,0,9,18,0,0,0,1,1,YES,POS
2012,scutama01,156,620,87,190,32,4,7,74,9,4,40,49,0,4,10,9,12,YES,POS
1983,strawda01,122,420,63,108,15,7,26,74,19,6,47,128,9,4,0,2,5,YES,POS
2003,martivi01,49,159,15,46,4,0,1,16,1,1,13,21,0,1,0,1,8,YES,POS
2014,lemahdj01,149,494,59,132,15,5,5,42,10,10,33,97,7,2,7,2,13,YES,POS
1993,bicheda01,141,538,93,167,43,5,21,89,14,8,28,99,2,7,0,8,7,YES,POS
1991,rodriiv01,88,280,24,74,16,0,3,27,0,1,5,42,0,0,2,1,10,YES,POS
1989,olsongr02,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,POS
2016,smoakju01,126,299,33,65,10,0,14,34,1,0,40,112,1,2,0,0,7,YES,POS
2010,avilaal01,104,294,28,67,12,0,7,31,2,2,36,71,0,2,1,0,12,YES,POS
2017,bregmal01,155,556,88,158,39,5,19,71,17,5,55,97,2,7,1,7,15,YES,POS
1973,hendrge01,113,440,64,118,18,0,21,61,7,6,25,71,1,2,2,4,9,YES,POS
2002,morame01,149,557,86,130,30,4,19,64,16,10,70,108,2,20,1,4,7,YES,POS
1974,washicl01,73,221,16,63,10,5,0,19,6,8,13,44,1,1,1,1,6,YES,POS
2008,penaca01,139,490,76,121,24,2,31,102,1,1,96,166,7,12,0,9,6,YES,POS
2011,poseybu01,45,162,17,46,5,0,4,21,3,0,18,30,3,4,0,1,4,YES,POS
1976,parkeda01,138,537,82,168,28,10,13,90,19,7,30,80,6,2,0,4,16,YES,POS
1973,groteje01,84,285,17,73,10,2,1,32,0,0,13,23,1,1,5,1,11,YES,POS
1977,lemonch01,150,553,99,151,38,4,19,67,8,7,52,88,1,11,4,7,7,YES,POS
1995,younger01,120,366,68,116,21,9,6,36,35,12,49,29,3,5,3,1,4,YES,POS
2016,dickeco01,148,510,57,125,36,3,24,70,0,2,33,134,6,2,0,2,12,YES,POS
1988,johnsho01,148,495,85,114,21,1,24,68,23,7,86,104,25,3,2,8,6,YES,POS
1994,martiti02,97,329,42,86,21,0,20,61,1,2,29,52,2,1,4,3,9,YES,POS
1987,gaettga01,154,584,95,150,36,2,31,109,10,7,37,92,7,3,1,3,25,YES,POS
1982,kittlro01,20,29,3,7,2,0,1,7,0,0,3,12,0,0,0,0,0,YES,POS
2001,lowelmi01,146,551,65,156,37,0,18,100,1,2,43,79,3,10,0,10,9,YES,POS
1997,durhara01,155,634,106,172,27,5,11,53,33,16,61,96,0,6,2,8,14,YES,POS
1980,easlemi01,132,393,66,133,27,3,21,74,5,9,43,65,6,0,0,9,7,YES,POS
1996,corajo01,144,530,90,154,37,6,6,45,5,5,35,32,1,7,6,5,9,YES,POS
1974,scottge02,158,604,74,170,36,2,17,82,9,9,59,90,5,3,0,6,25,YES,POS
1979,trammal01,142,460,68,127,11,4,6,50,17,14,43,55,0,0,12,5,6,YES,POS
2006,polanpl01,110,461,58,136,18,1,4,52,1,2,17,27,0,7,8,2,18,YES,POS
2005,matthga02,131,475,72,121,25,5,17,55,9,2,47,90,1,0,1,3,11,YES,POS
1999,batisto01,142,519,77,144,30,1,31,100,4,0,38,96,4,6,3,7,12,YES,POS
1975,garneph01,160,488,46,120,21,5,6,54,4,6,30,65,1,5,21,3,12,YES,POS
1993,bagweje01,142,535,76,171,37,4,20,88,13,4,62,73,6,3,0,9,20,YES,POS
1983,samueju01,18,65,14,18,1,2,2,5,3,2,4,16,1,1,0,1,1,YES,POS
2000,nevinph01,143,538,87,163,34,1,31,107,2,0,59,121,9,4,0,4,17,YES,POS
1983,gwynnto01,86,304,34,94,12,2,1,37,7,4,23,21,5,0,4,3,9,YES,POS
2002,gilesma01,68,213,27,49,10,1,8,23,1,1,25,41,3,2,1,1,5,YES,POS
1996,willibe02,143,551,108,168,26,7,29,102,17,4,82,72,8,0,1,7,15,YES,POS
1976,ziskri01,155,581,91,168,35,2,21,89,1,0,52,96,3,0,0,8,20,YES,POS
1995,rodrial01,48,142,15,33,6,2,5,19,4,2,6,42,0,0,1,0,0,YES,POS
1992,piazzmi01,21,69,5,16,3,0,1,7,0,0,4,12,0,1,0,0,1,YES,POS
2012,freemfr01,147,540,91,140,33,2,23,94,2,0,64,129,4,7,0,9,10,YES,POS
1974,dentbu01,154,496,55,136,15,3,5,45,3,4,28,48,0,3,23,2,9,YES,POS
2013,suzukku01,94,285,25,66,13,1,5,32,2,0,22,35,6,3,2,4,2,YES,POS
2009,buckjo01,59,186,16,46,12,4,8,36,1,1,13,55,0,1,1,1,2,YES,POS
2004,lopezfe01,79,264,35,64,18,2,7,31,1,1,25,81,0,3,2,1,1,YES,POS
2009,infanom01,70,203,24,62,9,1,2,27,2,0,19,28,0,1,2,4,5,YES,POS
1978,kempst01,159,582,75,161,18,4,15,79,2,3,97,87,3,1,3,3,9,YES,POS
1987,clarkwi02,150,529,89,163,29,5,35,91,5,17,49,98,11,5,3,2,2,YES,POS
